src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
127.0.0.2,127.0.0.1,40000,7400,17,2023-11-14 19:13:20,2.081,7308.024987986545,101.39356078808265,50.93704949543489,50.45651129264777,106,105,9328,5880,88,88,88.0,0.0,56,56,56.0,0.0,88,56,72.07582938388626,15.999820308507823,255.99424990453937,2120,2100,20,106,0.009909523809523807,0.019,0.0,0.009004570519987785,2.08,0.02,0.0,0.019809523809523805,0.0019424836242258228,2.08,0.02,0.02,0.019999999999999997,3.469446951953614e-18,0,0,0,0,0,0,0,0,0,0,0,0.9905660377358491,72.07582938388626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,56.0,0,106,105,9328,5880
127.0.0.3,127.0.0.1,50000,7400,17,2023-11-14 19:13:20,2.061,7309.0732654051435,101.40708393983503,50.946142649199416,50.46094129063562,105,104,9240,5824,88,88,88.0,0.0,56,56,56.0,0.0,88,56,72.07655502392345,15.99981685296154,255.99413932831212,2100,2080,20,105,0.009908653846153847,0.019,0.0,0.009004610043417963,2.06,0.02,0.0,0.019807692307692304,0.0019517099163638885,2.06,0.02,0.02,0.019999999999999997,3.469446951953614e-18,0,0,0,0,0,0,0,0,0,0,0,0.9904761904761905,72.07655502392345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,56.0,0,105,104,9240,5824
127.0.0.4,127.0.0.1,60000,7400,17,2023-11-14 19:13:20,1.901,7318.253550762756,101.52551288795371,51.02577590741715,50.49973698053656,97,96,8536,5376,88,88,88.0,0.0,56,56,56.0,0.0,88,56,72.08290155440415,15.999785227692197,255.99312733227745,1940,1920,20,97,0.009901041666666666,0.019,0.0,0.009004952280917274,1.9000000000000001,0.02,0.0,0.019791666666666666,0.0020305821551685347,1.9000000000000001,0.02,0.02,0.02,0.0,0,0,0,0,0,0,0,0,0,0,0,0.9896907216494846,72.08290155440415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,56.0,0,97,96,8536,5376
127.0.0.2,127.0.0.1,40001,7400,17,2023-11-14 19:13:22,1.901,7318.253550762756,101.52551288795371,51.02577590741715,50.49973698053656,97,96,8536,5376,88,88,88.0,0.0,56,56,56.0,0.0,88,56,72.08290155440415,15.999785227692197,255.99312733227745,1940,1920,20,97,0.009901041666666666,0.019001,0.0,0.009005285443278882,1.9000000000000001,0.02,0.0,0.019791666666666666,0.0020305821551685347,1.9000000000000001,0.020001,0.019999,0.02,4.103913408344721e-07,0,0,0,0,0,0,0,0,0,0,0,0.9896907216494846,72.08290155440415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,56.0,0,97,96,8536,5376
127.0.0.4,127.0.0.1,60001,7400,17,2023-11-14 19:13:22,1.941,7315.816589386914,101.4940752189593,51.00463678516228,50.48943843379701,99,98,8712,5488,88,88,88.0,0.0,56,56,56.0,0.0,88,56,72.08121827411168,15.999793860920533,255.99340359195037,1980,1960,20,99,0.009903061224489794,0.019001,0.0,0.009005127285320456,1.94,0.020001,0.0,0.019795918367346937,0.002009971020572234,1.940001,0.020001,0.019999,0.020000010309278348,3.93106720926942e-07,0,0,0,0,0,0,0,0,0,0,0,0.98989898989899,72.08121827411168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,56.0,0,99,98,8712,5488
127.0.0.3,127.0.0.1,50001,7400,17,2023-11-14 19:13:22,2.021,7311.232063334983,101.43493320138546,50.964868876793666,50.47006432459179,103,102,9064,5712,88,88,88.0,0.0,56,56,56.0,0.0,88,56,72.0780487804878,15.999809635988308,255.9939083878643,2060,2040,20,103,0.009906862745098034,0.019001,0.0,0.009004926331517824,2.02,0.02,0.0,0.019803921568627453,0.0019705638472786047,2.02,0.020001,0.019999,0.019999999999999997,3.980148760843937e-07,0,0,0,0,0,0,0,0,0,0,0,0.9902912621359223,72.0780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,56.0,0,103,102,9064,5712
127.0.0.2,127.0.0.1,40002,7400,17,2023-11-14 19:13:25,2.061,7309.0732654051435,101.40708393983503,50.946142649199416,50.46094129063562,105,104,9240,5824,88,88,88.0,0.0,56,56,56.0,0.0,88,56,72.07655502392345,15.99981685296154,255.99413932831212,2100,2080,20,105,0.009908653846153847,0.019,0.0,0.009004610043417963,2.06,0.02,0.0,0.019807692307692304,0.0019517099163638885,2.06,0.02,0.02,0.019999999999999997,3.469446951953614e-18,0,0,0,0,0,0,0,0,0,0,0,0.9904761904761905,72.07655502392345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,56.0,0,105,104,9240,5824
127.0.0.4,127.0.0.1,60002,7400,17,2023-11-14 19:13:25,2.001,7312.343828085957,101.44927536231884,50.97451274362819,50.474762618690654,102,101,8976,5656,88,88,88.0,0.0,56,56,56.0,0.0,88,56,72.07881773399015,15.999805866472528,255.99378776480873,2040,2020,20,102,0.009905940594059403,0.019,0.0,0.009004732768610888,2.0,0.02,0.0,0.019801980198019802,0.00198019801980198,2.0,0.02,0.02,0.019999999999999997,3.469446951953614e-18,0,0,0,0,0,0,0,0,0,0,0,0.9901960784313726,72.07881773399015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,56.0,0,102,101,8976,5656
127.0.0.3,127.0.0.1,50002,7400,17,2023-11-14 19:13:25,1.941,7315.816589386914,101.4940752189593,51.00463678516228,50.48943843379701,99,98,8712,5488,88,88,88.0,0.0,56,56,56.0,0.0,88,56,72.08121827411168,15.999793860920533,255.99340359195037,1980,1960,20,99,0.009903061224489794,0.019001,0.0,0.009005137484152947,1.940001,0.020001,0.0,0.01979592857142857,0.002009972054075197,1.94,0.020001,0.019999,0.019999999999999997,4.0613846605385383e-07,0,0,0,0,0,0,0,0,0,0,0,0.98989898989899,72.08121827411168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,56.0,0,99,98,8712,5488
127.0.0.4,127.0.0.1,60003,7400,17,2023-11-14 19:13:27,2.001,7312.343828085957,101.44927536231884,50.97451274362819,50.474762618690654,102,101,8976,5656,88,88,88.0,0.0,56,56,56.0,0.0,88,56,72.07881773399015,15.999805866472528,255.99378776480873,2040,2020,20,102,0.009905940594059403,0.019,0.0,0.009004732768610888,2.0,0.02,0.0,0.019801980198019802,0.00198019801980198,2.0,0.02,0.02,0.019999999999999997,3.469446951953614e-18,0,0,0,0,0,0,0,0,0,0,0,0.9901960784313726,72.07881773399015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,56.0,0,102,101,8976,5656
